term,coefficient,p_value,r_squared
Intercept,4.4431450013941,0.0,0.5724930833741959
C(city)[T.chicago],0.08319622817371827,4.1572254738005897e-07,0.5724930833741959
C(city)[T.losangeles],0.5648283513414091,0.0,0.5724930833741959
C(city)[T.nashville],0.12900616792710295,1.7683358305451449e-13,0.5724930833741959
C(city)[T.neworleans],0.0017582614733816938,0.9215282956727615,0.5724930833741959
C(city)[T.newyork],0.3416981393907812,9.658517252542154e-175,0.5724930833741959
C(room_type)[T.Hotel room],0.5650125737472401,4.845193483037293e-109,0.5724930833741959
C(room_type)[T.Private room],-0.6337375435952312,0.0,0.5724930833741959
C(room_type)[T.Shared room],-1.2302476785789185,0.0,0.5724930833741959
accommodates,0.11654885727915144,0.0,0.5724930833741959
C(city)[T.chicago]:accommodates,-0.016983251771859775,1.1294271032532054e-19,0.5724930833741959
C(city)[T.losangeles]:accommodates,-0.1075412741755148,0.0,0.5724930833741959
C(city)[T.nashville]:accommodates,-0.05470865909877329,6.371491062526016e-248,0.5724930833741959
C(city)[T.neworleans]:accommodates,-0.00010506592696575299,0.9557334698772162,0.5724930833741959
C(city)[T.newyork]:accommodates,-0.022661581236254204,4.1599808641105767e-41,0.5724930833741959
availability_365,0.00011037635364517139,9.245257064760728e-35,0.5724930833741959
number_of_reviews,-0.0001491096054682352,9.914300614222562e-30,0.5724930833741959
amenities_count,-0.0008809916242881155,0.00018048601160226786,0.5724930833741959
C(city)[T.chicago]:amenities_count,0.004128218035713475,3.990504244658425e-28,0.5724930833741959
C(city)[T.losangeles]:amenities_count,0.0014418592628315133,2.2896242651302982e-08,0.5724930833741959
C(city)[T.nashville]:amenities_count,0.003421966833921263,1.066286278457212e-20,0.5724930833741959
C(city)[T.neworleans]:amenities_count,0.0006545664605265909,0.09184630478981877,0.5724930833741959
C(city)[T.newyork]:amenities_count,0.006478097955520199,3.161960578087814e-123,0.5724930833741959
price_per_person,0.00040922790859845577,0.0,0.5724930833741959
