feature,coefficient,p_value,r_squared
const,4.61194792863688,0.0,0.4421390373314492
accommodates,0.06839713154539381,0.0,0.4421390373314492
amenities_count,0.0025059236182964554,4.968361191137044e-18,0.4421390373314492
availability_365,-0.00010250850938702299,0.006881314859445486,0.4421390373314492
reviews_per_month,-0.012887492172970106,5.330796266634323e-11,0.4421390373314492
minimum_nights,-0.0003926828036243904,0.1422079375706727,0.4421390373314492
room_Hotel room,0.2968544753729121,0.026735137298636868,0.4421390373314492
room_Private room,-0.47116181549236347,6.2295419413400154e-189,0.4421390373314492
room_Shared room,-0.4595979375526685,0.04702460771983322,0.4421390373314492
neigh_District 17,0.022147192288422678,0.26863188810589944,0.4421390373314492
neigh_District 18,0.04304921613442912,0.15527826883699322,0.4421390373314492
neigh_District 19,0.10496112981105368,3.447403574785871e-09,0.4421390373314492
neigh_District 2,-0.08825742628754797,0.00025469932038339787,0.4421390373314492
neigh_District 20,-0.14021630862003176,4.706941959933344e-06,0.4421390373314492
neigh_District 21,-0.06588313257952798,0.0013829790066452543,0.4421390373314492
neigh_District 5,-0.12735086342725088,4.948495236947286e-10,0.4421390373314492
neigh_District 6,-0.008248933285833834,0.7152794577442052,0.4421390373314492
neigh_District 7,-0.04434243965590122,0.13206530745795897,0.4421390373314492
neigh_OTHER,-0.11658217132741974,3.36315018827285e-10,0.4421390373314492
