cluster_pooled,city,count,pct_within_cluster
0,austin,1076,11.51048352588789
0,chicago,916,9.798887462558836
0,losangeles,3252,34.78818998716303
0,nashville,1562,16.709456568249895
0,neworleans,1058,11.317928968763372
0,newyork,1484,15.875053487376979
1,austin,2878,9.110477999366887
1,chicago,2255,7.138334916112694
1,losangeles,12850,40.67742956631845
1,nashville,1892,5.989237100348212
1,neworleans,2146,6.793289015511237
1,newyork,9569,30.291231402342515
2,austin,4923,11.912597396312249
2,chicago,3870,9.36456468083047
2,losangeles,17020,41.18472632241204
2,nashville,4705,11.38508445046702
2,neworleans,2603,6.298698156124473
2,newyork,8205,19.85432899385375
3,austin,1550,4.474079205634453
3,chicago,1583,4.569333795173767
3,losangeles,12161,35.102759496593926
3,nashville,1188,3.42916522341531
3,neworleans,1604,4.629950352153331
3,newyork,16558,47.79471192702921
